target sourceid ra_alma dec_alma mu870 e_mu870 f870 e_f870 reff e_reff q e_q
ElaisS1 Source0 00:38:23.7626 -43:37:06.1053   1.29 0.02 8.85 0.21 0.097 0.007 0.61 0.08
ElaisS1 Source1 00:38:23.4822 -43:37:05.5649   1.68 0.06 3.76 0.19 0.070 0.017 0.88 0.08
ElaisS1 Source2 00:38:23.3133 -43:36:58.9717   1.53 0.04 2.84 0.23 0.155 0.021 0.73 0.12
ElaisS1 Source3 00:38:23.8037 -43:37:10.4618   1.16 0.01 1.75 0.20 0.121 0.028 0.86 0.10
XMM01 Source0   02:20:16.6483 -06:01:41.9167   1.77 0.04 14.97 0.24 0.119 0.004 0.36 0.02
XMM01 Source1   02:20:16.5713 -06:01:44.6023   1.42 0.01 11.14 0.32 0.136 0.006 0.34 0.03
XMM01 Source2   02:20:16.5684 -06:01:43.5784   1.58 0.06 1.92 0.25 0.132 0.034 0.59 0.14
XMM02 Source0   02:22:01.5926 -03:33:39.4226   1.63 0.11 8.45 0.38 0.134 0.012 0.32 0.06
XMM02 Source1   02:22:01.6294 -03:33:43.5877   1.10 0.01 3.12 0.41 0.175 0.032 0.73 0.17
XMM03 Source0   02:25:47.8509 -04:17:50.8203   1.80 0.16 14.73 0.35 0.133 0.005 0.74 0.05
XMM04 Source0   02:18:53.1187 -06:33:24.1986   1.00 0.00 5.46 0.30 0.088 0.012 0.82 0.14
XMM04 Source1   02:18:53.0953 -06:33:25.2116   1.00 0.00 1.78 0.37 0.116 0.051 0.70 0.20
XMM05 Source0   02:30:05.9633 -03:41:52.2889   2.15 0.23 7.48 0.37 0.137 0.009 0.52 0.08
XMM05 Source1   02:30:05.9431 -03:41:52.3468   1.00 0.00 8.84 0.39 0.137 0.011 0.31 0.05
XMM06 Source0   02:18:30.6686 -05:31:31.7938   5.33 0.19 62.06 0.57 0.122 0.003 0.64 0.02
XMM101 Source0  02:22:50.5677 -03:24:12.3263   1.00 0.00 8.77 0.24 0.085 0.010 0.52 0.11
XMM102 Source0  02:19:42.6293 -05:24:37.1151   1.00 0.00 5.15 0.32 0.089 0.014 0.63 0.16
XMM102 Source1  02:19:42.8383 -05:24:35.1186   1.00 0.00 3.31 0.39 0.137 0.026 0.84 0.10
XMM102 Source2  02:19:42.7691 -05:24:36.4871   1.00 0.00 2.88 0.22 0.058 0.020 0.80 0.13
XMM102 Source3  02:19:42.6828 -05:24:36.8213   1.00 0.00 1.94 0.37 0.283 0.198 0.67 0.17
XMM102 Source4  02:19:42.9557 -05:24:32.2287   1.00 0.00 0.94 0.18 0.459 0.246 0.58 0.15
XMM108 Source0  02:19:18.4014 -03:10:51.2843   8.49 1.13 29.16 0.58 0.074 0.007 0.32 0.02
XMM109 Source0  02:29:44.748 -03:41:09.5884  27.15 4.61 19.62 0.27 0.019 0.003 0.20 0.00
XMM110 Source0  02:18:41.5209 -03:50:04.7251   1.00 0.00 6.31 0.34 0.141 0.011 0.80 0.12
XMM110 Source1  02:18:41.7003 -03:50:02.5759   1.00 0.00 3.81 0.25 0.070 0.018 0.59 0.22
XMM115 Source0  02:20:21.7788 -01:53:30.0512   3.72 0.42 17.61 0.49 0.224 0.006 0.58 0.03
XMM119 Source0  02:20:29.1952 -06:48:48.0274   2.25 0.17 8.47 0.30 0.107 0.008 0.36 0.04
XMM119 Source1  02:20:29.0795 -06:48:44.8634   1.48 0.03 5.98 0.18 0.023 0.009 0.63 0.21
XMM124 Source0  02:22:05.3686 -07:07:28.1494   1.00 0.00 2.75 0.14 0.020 0.008 0.68 0.20
XMM16 Source0   02:21:35.1358 -06:26:17.2678   1.00 0.00 13.63 0.55 0.094 0.009 0.33 0.05
XMM16 Source1   02:21:35.1204 -06:26:16.6543   1.00 0.00 3.36 0.76 0.204 0.029 0.39 0.10
XMM16 Source2   02:21:35.1351 -06:26:17.8603   1.00 0.00 10.90 1.29 0.441 0.029 0.35 0.05
