target sourceid ra_alma dec_alma mu870 e_mu870 f870 e_f870 reff e_reff q e_q
XMM102 Source4  02:19:42.9557 -05:24:32.2287  1.00 0.00 0.94 0.18 0.459 0.246 0.58 0.15
XMM108 Source0  02:19:18.4014 -03:10:51.2843  8.49 1.13 3.49 0.46 0.074 0.007 0.32 0.02
XMM109 Source0  02:29:44.748 -03:41:09.5884  27.15 4.61 0.85 0.13 0.019 0.003 0.20 0.00
XMM110 Source0  02:18:41.5209 -03:50:04.7251  1.00 0.00 6.31 0.34 0.141 0.011 0.80 0.12
XMM110 Source1  02:18:41.7003 -03:50:02.5759  1.00 0.00 3.81 0.25 0.070 0.018 0.59 0.22
XMM115 Source0  02:20:21.7741 -01:53:30.4427  3.72 0.42 5.13 0.61 0.117 0.007 0.52 0.07
XMM119 Source0  02:20:29.2075 -06:48:47.0444  2.25 0.17 3.83 0.29 0.064 0.006 0.42 0.06
XMM119 Source1  02:20:29.1332 -06:48:45.4997  1.48 0.03 4.21 0.17 0.033 0.010 0.46 0.18
XMM124 Source0  02:22:05.3686 -07:07:28.1494  1.00 0.00 2.75 0.14 0.020 0.008 0.68 0.20
XMM16 Source0   02:21:35.1358 -06:26:17.2678  1.00 0.00 13.63 0.55 0.094 0.009 0.33 0.05
XMM16 Source1   02:21:35.1204 -06:26:16.6543  1.00 0.00 3.36 0.76 0.204 0.029 0.39 0.10
XMM16 Source2   02:21:35.1351 -06:26:17.8603  1.00 0.00 10.90 1.29 0.441 0.029 0.35 0.05
