target sourceid offra e_offra offdec e_offdec fnu e_fnu size e_size q e_q phi e_phi mu e_mu
XMM04   Source0        0.114 0.009      0.451 0.008      5.46  0.30     0.088 0.012      0.82  0.14      90  44      1.00  0.00   
XMM04   Source1       -0.236 0.034     -0.562 0.030      1.78  0.37     0.116 0.051      0.70  0.20      88  55      1.00  0.00   
XMM05   Source0        0.059 0.040      0.567 0.032      7.58  0.74     0.111 0.006      0.52  0.04      36   5      2.15  0.23   
XMM06   Source0       -0.278 0.008      0.239 0.011     11.66  0.45     0.122 0.003      0.64  0.02      62   2      5.33  0.19   
XMM16   Source0        5.180 0.003      0.923 0.003     15.42  0.43     0.129 0.004      0.51  0.03     -23   2      1.19  0.01   
XMM16   Source1        5.159 0.027      2.068 0.029      1.66  0.17     0.089 0.011      0.75  0.12      18  31      1.19  0.01   
XMM16   Source2        5.125 0.046      0.286 0.229      1.12  0.15     0.088 0.015      0.76  0.11      -8  41      1.19  0.01   
XMM101   Source0      -0.076 0.004      0.024 0.004      8.77  0.24     0.085 0.010      0.52  0.11     152   6      1.00  0.00   
XMM102   Source0      -2.308 0.012     -2.275 0.011      5.15  0.32     0.089 0.014      0.63  0.16      58  27      1.00  0.00   
XMM102   Source1       0.828 0.025     -0.278 0.023      3.31  0.39     0.137 0.026      0.84  0.10      74  44      1.00  0.00   
XMM102   Source2      -0.211 0.017     -1.647 0.014      2.88  0.22     0.058 0.020      0.80  0.13      84  45      1.00  0.00   
XMM102   Source3      -1.505 0.157     -1.981 0.064      1.94  0.37     0.283 0.198      0.67  0.17      81  21      1.00  0.00   
XMM102   Source4       2.588 0.155      2.611 0.218      0.94  0.18     0.459 0.246      0.58  0.15      96  51      1.00  0.00   
XMM108   Source0       0.016 0.238     -0.016 0.283      3.49  0.46     0.074 0.007      0.32  0.02      66   2      8.49  1.13   
XMM109   Source0       0.153 0.024     -0.073 0.011      0.85  0.13     0.019 0.003      0.20  0.00     109   1     27.15  4.61   
XMM110   Source0      -1.380 0.010     -1.025 0.010      6.31  0.34     0.141 0.011      0.80  0.12     134  36      1.00  0.00   
XMM110   Source1       1.311 0.011      1.124 0.010      3.81  0.25     0.070 0.018      0.59  0.22      52  56      1.00  0.00   
XMM115   Source0       0.095 0.021      0.442 0.025      5.13  0.61     0.117 0.007      0.52  0.07      -2   5      3.72  0.42   
XMM119   Source0      -0.392 0.039     -0.740 0.051      3.83  0.29     0.064 0.006      0.42  0.06      75   5      2.25  0.17   
XMM119   Source1      -1.507 0.073      0.805 0.053      4.21  0.17     0.033 0.010      0.46  0.18     116  14      1.48  0.03   
XMM124   Source0       0.101 0.011     -0.050 0.009      2.75  0.14     0.020 0.008      0.68  0.20      89  49      1.00  0.00   

